,Unnamed: 0,BUDGETYEAR,BUDGET CATEGORY,TYPE OF EXPENDITURE,GOVERNMENT AGENCY,ESTIMATED BUDGET
148,148.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF TRANSPORT,209736113910
149,149.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF AVIATION,70189215332
150,150.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF POWER,206745895389
151,151.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,MINISTRY OF PETROLEUM RESOURCES,3340140120
152,152.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,MINISTRY OF MINES AND STEEL DEVELOPMENT,12605747806
153,153.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF WORKS AND HOUSING,399694565222
154,154.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,"NATIONAL SALARIES, INCOMES AND WAGES COMMISSION",110455765
155,155.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FISCAL RESPONSIBILITY COMMISSION,261170602
156,156.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF WATER RESOURCES,159745000315
157,157.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF JUSTICE,5097558027
158,158.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,INDEPENDENT CORRUPT PRACTICES AND RELATED OFFENCES COMMISSION,1363636403
159,159.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL CAPITAL TERRITORY ADMINISTRATION,37330762421
160,160.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,MINISTRY OF NIGER DELTA AFFAIRS,22024592197
161,161.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF YOUTH & SPORTS DEVELOPMENT,10639249276
162,162.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF WOMEN AFFAIRS,11204210256
163,163.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF EDUCATION,156172307765
164,164.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF HEALTH,134591025027
165,165.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF ENVIRONMENT,24554710490
166,166.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,NATIONAL POPULATION COMMISSION,4839951093
167,167.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,"FEDERAL MINISTRY OF HUMANITARIAN AFFAIRS, DISASTER MANAGEMENT & SOCIAL DEVELOPMENT",75768539782
168,168.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,CODE OF CONDUCT BUREAU,999441851
169,169.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,CODE OF CONDUCT TRIBUNAL,145760756
170,170.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL CHARACTER COMMISSION,610475876
171,171.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL CIVIL SERVICE COMMISSION,124981870
172,172.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,POLICE SERVICE COMMISSION,280475876
173,173.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,"REVENUE MOBILISATION, ALLOCATION AND FISCAL COMMISSION",573629814
174,174.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FGN SPECIAL INTERVENTION PROGRAMME: SOCIAL HOUSING  (FAMILY HOMES FUND),10000000000
175,175.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,NIGERIA YOUTH INVESTMENT FUND,25000000000
176,176.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,"COUNTERPART FUNDING  FOR DONOR SUPPORTED PROGRAMMES,  INCLUDING GLOBAL FUND",5500000000
177,177.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,PAYMENT OF LOCAL CONTRACTORS' DEBTS/OTHER LIABILITIES,32000000000
178,178.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,GALAXY BACKBONE,5600000000
179,179.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,GIFMIS/IPPIS CAPITAL,1000000000
180,180.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,SUBSCRIPTION TO SHARES IN INTERNATIONAL ORGANISATIONS,15000000000
181,181.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,"NATIONAL DEVELOPMENT PLANS (FEDERAL MINISTRY OF FINANCE, BUDGET AND NATIONAL PLANNING)",1500000000
182,182.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,CAPITAL EXIGENCIES/ADJUSTMENT TO CAPITAL COST,3196000000
183,183.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,CONTINGENCY (CAPITAL),10000000000
184,184.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,GRANTS AND DONOR FUNDED PROJECTS,354852661650
185,185.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,PRESIDENTIAL ENABLING BUSINESS ENVIRONMENT COUNCIL (PEBEC),1000000000
186,186.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,GRANTS TO BOI TO SUPPORT LOW INTEREST LENDING TO SMES,10000000000
187,187.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,REFUND FOR THE ACQUISITION OF YOLA DISCO,16703390000
188,188.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,PROVISION FOR THE REFUND OF TWO TRANCHES OF NHIS DEDUCTIONS,5000000000
189,189.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,REFUND OF BORROWED FUNDS FROM THE EDUCATION TAX POOL (TETFUND),12899000000
190,190.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,NATIONAL INSTITUTE FOR LEGISLATIVE AND DEMOCRATIC  STUDIES (NILDS),4000000000
191,191.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,UPSCALING OF NATIONAL SOCIAL INVESTMENT PROGRAMME - NSIP,365000000000
0,0.0,2022.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL JUDICIAL COUNCIL,120000000000
1,1.0,2022.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NIGER-DELTA DEVELOPMENT COMMISSION,102783203366
2,2.0,2022.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,UNIVERSAL BASIC EDUCATION,112287014270
3,3.0,2022.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL ASSEMBLY OFFICE,19116017372
4,4.0,2022.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,SENATE,33267001807
5,5.0,2022.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,HOUSE OF REPRESENTATIVES,51994511954
6,6.0,2022.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,LEGISLATIVES AIDES,9602095928
7,7.0,2022.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,PAC - SENATE,118970215
8,8.0,2022.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,PAC - HOUSE OF REPRESENTATIVES,142764258
9,9.0,2022.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,GENERAL SERVICES,8307475470
10,10.0,2022.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL INSTITUTE FOR LEGISLATIVE AND DEMOCRATIC STUDIES (NILDS),7373813596
11,11.0,2022.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,OFFICE OF RETIRED  CLERKS AND  PERM. SECRETARIES,581847737
12,12.0,2021.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,APPROPRIATION COMMITTEE DEPARTMENT  -  SENATE,125000000
13,13.0,2022.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,APPROPRIATION COMMITTEE DEPARTMENT  -  HOUSE,165000000
14,14.0,2022.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,PUBLIC COMPLAINTS COMMISSION,11190000000
15,15.0,2022.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,INDEPENDENT NATIONAL ELECTORAL COMMISSION (INEC),219543861619
16,16.0,2022.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL HUMAN RIGHT COMMISSION,4500000000
17,17.0,2022.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NORTH EAST DEVELOPMENT COMMISSION,48076094017
18,18.0,2022.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,BASIC HEALTH CARE FUND,56143507135
19,19.0,2022.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL AGENCY FOR SCIENCE AND ENGINEERING INFRASTRUCTURE (NASENI),56143507135
20,20.0,2022.0,DEBT SERVICE,RECURRENT  EXPENDITURE,DOMESTIC DEBTS,2506075200107
21,21.0,2022.0,DEBT SERVICE,RECURRENT  EXPENDITURE,FOREIGN DEBTS,1103165988308
22,22.0,2022.0,DEBT SERVICE,RECURRENT  EXPENDITURE,SINKING FUND TO RETIRE MATURING LOANS,270711793135
23,23.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PRESIDENCY,61079757342
24,24.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,DEFENCE,996091292618
25,25.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINISTRY OF FOREIGN AFFAIRS,79243483198
26,26.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF INFORMATION & CULTURE,55796274038
27,27.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINISTRY OF INTERIOR,257626461524
28,28.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION,7919353247
29,29.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,AUDITOR GENERAL FOR THE FEDERATION,4476854068
30,30.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF POLICE AFFAIRS,518532292470
31,31.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF COMMUNICATIONS AND DIGITAL ECONOMY,23387996618
32,32.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,NATIONAL SECURITY ADVISER,155820214009
33,33.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,INFRASTRUCTURE CONCESSION REGULATORY COMMISSION,1344674257
34,34.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,SECRETARY TO THE GOVERNMENT OF THE FEDERATION,62575420244
35,35.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF SPECIAL DUTIES & INTER - GOVERNMENTAL AFFAIRS,4439614685
36,36.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT,75544228649
37,37.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"FEDERAL MINISTRY OF FINANCE, BUDGET AND NATIONAL PLANNING",28604104969
38,38.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT",17966745438
39,39.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF LABOUR AND EMPLOYMENT,14453726978
40,40.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"FEDERAL MINISTRY OF SCIENCE, TECHNOLOGY AND INNOVATION",49683523165
41,41.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF TRANSPORT,15892132819
42,42.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF AVIATION,7692548460
43,43.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF POWER,6262156943
44,44.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINISTRY OF PETROLEUM RESOURCES,30502257191
45,45.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINISTRY OF MINES AND STEEL DEVELOPMENT,12038392758
46,46.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF WORKS AND HOUSING,31935604197
47,47.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"NATIONAL SALARIES, INCOMES AND WAGES COMMISSION",870534226
48,48.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FISCAL RESPONSILIBITY COMMISSION,456245928
49,49.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF WATER RESOURCES,10669058320
50,50.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF JUSTICE,26761780448
51,51.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,INDEPENDENT CORRUPT PRACTICES AND RELATED OFFENCES COMMISSION,11655253717
52,52.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF NIGER DELTA HQTRS,2569680304
53,53.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF YOUTH & SPORTS DEVELOPMENT,185489102966
54,54.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF WOMEN AFFAIRS,2103758084
55,55.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF EDUCATION,593473925256
56,56.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF HEALTH,462858698619
57,57.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF ENVIRONMENT HEADQUARTERS,22796647842
58,58.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,NATIONAL POPULATION COMMISSION,8880618082
59,59.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"MINISTRY OF HUMANITARIAN AFFAIRS, DISASTER MANAGEMENT AND SOCIAL",7669972542
60,60.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,CODE OF CONDUCT BUREAU,2343845401
61,61.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,CODE OF CONDUCT TRIBUNAL,830910644
62,62.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL CHARACTER COMMISSION,3272871999
63,63.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL CIVIL SERVICE COMMISSION,1217473478
64,64.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,POLICE SERVICE COMMISSION,926505919
65,65.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"REVENUE MOBILIZATION, ALLOCATION, AND FISCAL COMMISSION",2337230632
66,66.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,SUB-TOTAL: FEDERAL EXECUTIVE BODIES,10928838073
67,67.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,GOVERNMENT OWNED ENTERPRISES,1084026783067
68,68.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"PENSION, GRATUITIES AND RETIREES BENEFITS TOTAL ALLOCATION:",577862188757
69,69.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE HEAD OF CIVIL SERVICE (CIVILIAN PENSION),46466585167
70,70.0,2022.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,GRATUITIES,841000000
71,71.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS,34872319858
72,72.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSION RUNNING COST,178566599
73,73.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,UNFUNDED LIABILITIES,10574698710
74,74.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,MILITARY PENSIONS AND GRATUITIES (DMP),237777188864
75,75.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS,146538694356
76,76.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,EXPECTED RETIREES,33416640817
77,77.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,DEATH BENEFITS,19757240672
78,78.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ADMINISTRATIVE CHARGES,193125178
79,79.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSION RUNNING COST,180000000
80,80.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,MEDICAL RETIREES,1769576053
81,81.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ARREARS OF GRATUITIES (JAN 2019 - DEC 2021),6129976918
82,82.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ARREARS OF PENSIONS (JAN 2019 - DEC 2021),4086651278
83,83.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ARREARS OF DEATH BENEFITS (JAN 2019 - DEC 2021),4985205700
84,84.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ARREARS OF PENSIONS AS A RESULT OF CONSEQUENTIAL ADJUSTEMENT ON PENSIONS (APRIL 2019 - APRIL 2021),20720077892
85,85.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,NHIS - MILITARY RETIREES,3571846330
86,86.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,NHIS - MILITARY RETIREES - INCLUDING ARREARS,3571846330
87,87.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,DIA CIVILIAN STAFF PENSION AND GRATUITIES,540770299
88,88.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSION,276642497
89,89.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,GRATUITY,214966866
90,90.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ADMINISTRATIVE CHARGES (INCLUDING VERIFICATION),49160936
91,91.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,POLICE PENSIONS AND GRATUITIES,9056565892
92,92.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS,8734431347
93,93.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSION RUNNING COST,118414694
94,94.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,UNFUNDED LIABILITIES,203719851
95,95.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,"CUSTOMS, IMMIGRATION AND PRISIONS PENSION OFFICE",9460976361
96,96.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS,9000000000
97,97.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSION RUNNING COST,123476361
98,98.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,UNFUNDED LIABILITIES,337500000
99,99.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,UNIVERSITIES PENSION INCLUDING ARREARS,15537657501
100,100.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS,15537657501
101,101.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PARASTATALS PENSION AND RAILWAY PENSIONS,30502699595
102,102.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS,30502699595
103,103.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,DEPARTMENT OF STATE SECURITY,12146093389
104,104.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS (INCLUDING ARREARS),9647031216
105,105.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,GRATUITY,1835743137
106,106.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,DEATH BENEFITS,663319037
107,107.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,NIGERIA INTELLIGENCE AGENCY,9791192224
108,108.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS/DEPENDANTS BENEFITS,8991192224
109,109.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSION RUNNING COST,300000000
110,110.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ESTABLISHMENT OF NIA PENSION,500000000
111,111.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,NELMCO,19144170022
112,112.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,NELMCO PENSIONS/ARREARS,18988950746
113,113.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSION RUNNING COST,155219276
114,114.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,OTHER PENSIONS,183866443112
115,115.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ARREARS OF PENSION LIABILITIES,11000000000
116,116.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,DEFUNCT PRIVATISED AGENCIES PENSION,30063951303
117,117.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PAYMENT INTO REDEMPTION FUND,125000000000
118,118.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSION PROTECTION FUND,10000000000
119,119.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,BENEFITS OF RETIRED HEADS OF SERVICE AND PERMANENT SECRETARIES AND PROFESSORS,4502491809
120,120.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PARASTATALS,1000000000
121,121.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ENTITTLEMENTS OF FORMER PRESIDENTS/HEADS OF STATES AND VICE,2300000000
122,122.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PRESIDENTS/CHIEF OF GENERAL STAFF OTHER SERVICE - WIDE VOTES,1381867592621
123,123.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PAYMENT OF OUTSTANDING DEATH BENEFIT TO CIVIL SERVANTS/POLICE,7766257523
124,124.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,GROUP LIFE ASSURANCE FOR ALL MDAs INCLUDING DSS/INSURANCE OF SENSITIVE ASSETS/CORPERS PLUS ADMINISTRATION/MONITORING PUBLIC SERVICE WAGE ADJUSTMENT FOR MDAS (INCLUDING ARREARS OF,24733742477
125,125.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PROMOTION AND SALARY INCREASES & PAYMENT OF SEVERANCE BENEFITS AND MINIMUM WAGE RELATED ADJUSTMENTS),200000000000
126,126.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,MILITARY OPERATIONS: LAFIYA DOLE & OTHER OPERATIONS OF THE ARMED FORCES,115000000000
127,127.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,SETTLEMENT OF MDAs ELECTRICITY BILLS DEBTS,40000000000
128,128.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,IPPIS CAPTURING/MONITORING,1000000000
129,129.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,MARGIN FOR INCREASES IN COSTS AND RECURRENT ADJUSTMENT COSTS,10000000000
130,130.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PRESIDENTIAL AMNESTY PROGRAMME: REINTEGRATION OF TRANSFORMED EX-MILITANTS,65000000000
131,131.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,SERVICE WIDE TRAINING OF BUDGET/PLANNING OFFICERS ON GIFMIS BUDGET PREPARATION SYSTEM (BPS) AS WELL AS MONITORING AND EVALUATION OF ALL PROJECTS NATIONWIDE,1000000000
132,132.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,NATIONAL SOCIAL INVESTMENT PROGRAMME - NSIP (RECURRENT),350000000000
133,133.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,CONTINGENCY (RECURRENT),30000000000
134,134.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,INTERNATIONAL SPORTING COMPETITIONS,3000000000
135,135.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,TSA OPERATIONS,1000000000
136,136.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,EMPLOYEE COMPENSATION ACT - EMPLOYEES COMPENSATION FUND,4000000000
137,137.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,CONTRIBUTIONS TO INTERNATIONAL ORGANISATIONS,30000000000
138,138.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,GAVI/IMMUNISATION,49367592621
139,139.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,POLICE OPERATIONS FUND,50000000000
140,140.0,2022.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,HAZARD ALLOWANCE FOR HEALTH WORKERS,50000000000
